CODE_INSEE,zone,superficie,techno,ope_ORA,ope_OMT,ope_DIG,ope_SRR,ope_FRE,couv_NA,couvs_OPE
97121,971,6221596.02009743,4G,,,,,,ZB,NA_NA_NA
97111,971,2202185.8711186,4G,,,,,,ZB,NA_NA_NA
97107,971,8372434.29698652,4G,,,,,,ZB,NA_NA_NA
97122,971,31945.8280513063,4G,,,,,,ZB,NA_NA_NA
97115,971,334712.229090311,4G,,,,,,ZB,NA_NA_NA
97124,971,958002.972945236,4G,,,,,,ZB,NA_NA_NA
97105,971,22219.3185759196,4G,,,,,,ZB,NA_NA_NA
97134,971,23761467.5384216,4G,,,,,,ZB,NA_NA_NA
97104,971,1206967.41742462,4G,,,,,,ZB,NA_NA_NA
97114,971,1718724.52693909,4G,,,,,,ZB,NA_NA_NA
97112,971,826905.334867954,4G,,,,,,ZB,NA_NA_NA
97102,971,118314.930597454,4G,,,,,,ZB,NA_NA_NA
97119,971,133723.369080037,4G,,,,,,ZB,NA_NA_NA
97117,971,52681.7979745269,4G,,,,,,ZB,NA_NA_NA
97131,971,622711.952590242,4G,,,,,,ZB,NA_NA_NA
97130,971,87784.5496410355,4G,,,,,,ZB,NA_NA_NA
97132,971,38710.3996374048,4G,,,,,,ZB,NA_NA_NA
97109,971,17813.6878931858,4G,,,,,,ZB,NA_NA_NA
97133,971,130547.685653482,4G,,,,,,ZB,NA_NA_NA
97125,971,222517.06953454,4G,,,,,,ZB,NA_NA_NA
97110,971,8355475.43380939,4G,,,,,,ZB,NA_NA_NA
97116,971,81686.0163765848,4G,,,,,,ZB,NA_NA_NA
97120,971,122624.82718721,4G,,,,,,ZB,NA_NA_NA
97108,971,1868515.61469851,4G,,,,,,ZB,NA_NA_NA
97126,971,1055506.25909136,4G,,,,,,ZB,NA_NA_NA
97118,971,5787893.46951455,4G,,,,,,ZB,NA_NA_NA
97128,971,62373.6624880135,4G,,,,,,ZB,NA_NA_NA
97106,971,1652337.50465756,4G,,,,,,ZB,NA_NA_NA
97113,971,66739.8441570029,4G,,,,,,ZB,NA_NA_NA
97103,971,180236.586888254,4G,,,,,,ZB,NA_NA_NA
97129,971,4328328.90965316,4G,,,,,,ZB,NA_NA_NA
97101,971,89262.8065451384,4G,,,,,,ZB,NA_NA_NA
97207,972,-6.04838132858276e-05,4G,,,,,,ZB,NA_NA_NA
97225,972,1072860.85213153,4G,,,,,,ZB,NA_NA_NA
97213,972,45523.1615057737,4G,,,,,,ZB,NA_NA_NA
