CODE_INSEE,techno,OPE,superficie,TOT.superficie,pct.superficie
97101,4G,DIG,64906641.8227,70037724.644,0.926738299289688
97101,4G,FRE,0,70037724.644,0
97101,4G,OC,69891661.8351,70037724.644,0.997914512362553
97101,4G,OMT,69935017.4543,70037724.644,0.998533544740038
97101,4G,ORA,0,70037724.644,0
97101,4G,SMR,0,70037724.644,0
97101,4G,SRR,0,70037724.644,0
97102,4G,DIG,59517117.0212,63833279.3663,0.932383822546039
97102,4G,FRE,0,63833279.3663,0
97102,4G,OC,41924948.5947,63833279.3663,0.656788261717191
97102,4G,OMT,63617971.6196,63833279.3663,0.996627029837141
97102,4G,ORA,0,63833279.3663,0
97102,4G,SMR,0,63833279.3663,0
97102,4G,SRR,0,63833279.3663,0
97103,4G,DIG,44478536.1139,46421761.5073,0.958139774745635
97103,4G,FRE,0,46421761.5073,0
97103,4G,OC,46199656.7029,46421761.5073,0.995215502445656
97103,4G,OMT,46213865.132,46421761.5073,0.995521575042616
97103,4G,ORA,0,46421761.5073,0
97103,4G,SMR,0,46421761.5073,0
97103,4G,SRR,0,46421761.5073,0
97104,4G,DIG,14824952.9226,24252575.0216,0.611273355897116
97104,4G,FRE,0,24252575.0216,0
97104,4G,OC,21950412.5029,24252575.0216,0.90507554283825
97104,4G,OMT,22080796.4321,24252575.0216,0.910451628844947
97104,4G,ORA,0,24252575.0216,0
97104,4G,SMR,0,24252575.0216,0
97104,4G,SRR,0,24252575.0216,0
97105,4G,DIG,4201837.5116,4478237.47169,0.938279298086063
97105,4G,FRE,0,4478237.47169,0
97105,4G,OC,4456018.15311,4478237.47169,0.99503837866561
97105,4G,OMT,4454900.70101,4478237.47169,0.994788849223042
97105,4G,ORA,0,4478237.47169,0
97105,4G,SMR,0,4478237.47169,0
97105,4G,SRR,0,4478237.47169,0
97106,4G,DIG,23115640.0283,43413072.1972,0.53245805602744
97106,4G,FRE,0,43413072.1972,0
97106,4G,OC,31555222.7418,43413072.1972,0.726859932843804
97106,4G,OMT,41539294.361,43413072.1972,0.956838395870983
97106,4G,ORA,0,43413072.1972,0
97106,4G,SMR,0,43413072.1972,0
97106,4G,SRR,0,43413072.1972,0
97107,4G,DIG,50449803.2724,103012474.981,0.489744599202234
97107,4G,FRE,0,103012474.981,0
97107,4G,OC,88772709.8488,103012474.981,0.861766595406756
97107,4G,OMT,87667166.641,103012474.981,0.851034466040833
97107,4G,ORA,0,103012474.981,0
97107,4G,SMR,0,103012474.981,0
97107,4G,SRR,0,103012474.981,0
97108,4G,DIG,0,46129341.9975,0
97108,4G,FRE,0,46129341.9975,0
97108,4G,OC,33307875.9424,46129341.9975,0.722054000774716
97108,4G,OMT,44006247.6391,46129341.9975,0.953975186584819
97108,4G,ORA,0,46129341.9975,0
97108,4G,SMR,0,46129341.9975,0
97108,4G,SRR,0,46129341.9975,0
97109,4G,DIG,12261605.6001,22628132.6575,0.541874390860792
97109,4G,FRE,0,22628132.6575,0
97109,4G,OC,19262178.5962,22628132.6575,0.851249145820065
97109,4G,OMT,21333765.8864,22628132.6575,0.942798339098874
97109,4G,ORA,0,22628132.6575,0
97109,4G,SMR,0,22628132.6575,0
97109,4G,SRR,0,22628132.6575,0
97110,4G,DIG,0,21177664.8662,0
97110,4G,FRE,0,21177664.8662,0
97110,4G,OC,12541460.9621,21177664.8662,0.592202258432961
97110,4G,OMT,2128382.40505,21177664.8662,0.100501278988834
97110,4G,ORA,0,21177664.8662,0
97110,4G,SMR,0,21177664.8662,0
97110,4G,SRR,0,21177664.8662,0
97111,4G,DIG,12214236.3368,31378383.4032,0.389256392843819
97111,4G,FRE,0,31378383.4032,0
97111,4G,OC,22604818.2171,31378383.4032,0.720394608180953
97111,4G,OMT,29534326.9021,31378383.4032,0.941231628238951
97111,4G,ORA,0,31378383.4032,0
97111,4G,SMR,0,31378383.4032,0
97111,4G,SRR,0,31378383.4032,0
97112,4G,DIG,0,55571382.0897,0
97112,4G,FRE,0,55571382.0897,0
97112,4G,OC,48658220.9251,55571382.0897,0.875598538228882
97112,4G,OMT,54610800.145,55571382.0897,0.982714449261861
97112,4G,ORA,0,55571382.0897,0
97112,4G,SMR,0,55571382.0897,0
97112,4G,SRR,0,55571382.0897,0
97113,4G,DIG,33601095.568,45436200.2578,0.739522569610819
97113,4G,FRE,0,45436200.2578,0
97113,4G,OC,44929692.7315,45436200.2578,0.988852335287147
97113,4G,OMT,45362429.8356,45436200.2578,0.998376395434006
97113,4G,ORA,0,45436200.2578,0
97113,4G,SMR,0,45436200.2578,0
97113,4G,SRR,0,45436200.2578,0
97114,4G,DIG,25818154.6037,60010145.3854,0.430229829271191
97114,4G,FRE,0,60010145.3854,0
97114,4G,OC,56520515.7711,60010145.3854,0.941849339109433
97114,4G,OMT,56866148.385,60010145.3854,0.947608908790198
97114,4G,ORA,0,60010145.3854,0
97114,4G,SMR,0,60010145.3854,0
97114,4G,SRR,0,60010145.3854,0
97115,4G,DIG,48916800.5495,65402103.6774,0.747939252700268
97115,4G,FRE,0,65402103.6774,0
97115,4G,OC,62841537.4803,65402103.6774,0.960848871012924
97115,4G,OMT,65297113.4835,65402103.6774,0.998394696989903
97115,4G,ORA,0,65402103.6774,0
97115,4G,SMR,0,65402103.6774,0
97115,4G,SRR,0,65402103.6774,0
97116,4G,DIG,65356952.7507,69422696.3313,0.941434951457411
97116,4G,FRE,0,69422696.3313,0
97116,4G,OC,69006344.3719,69422696.3313,0.994002653578693
97116,4G,OMT,69324587.3914,69422696.3313,0.998586788686054
97116,4G,ORA,0,69422696.3313,0
97116,4G,SMR,0,69422696.3313,0
97116,4G,SRR,0,69422696.3313,0
