techno,couvs_OPE_BINOMES,superficie,pct.superficie
4G,1 opérateur,37995637742.4585,0.0692470845311086
4G,3 opérateurs,82819490479.6372,0.150938597134222
4G,4 opérateurs,354792330841.481,0.646609347401874
4G,ByTel + Free,953527827.161952,0.00173780533696539
4G,ByTel + SFR,11887890474.7209,0.0216656912611751
4G,Orange + ByTel,5929564496.13723,0.0108066367165576
4G,Orange + Free,7161993314.8364,0.0130527393656433
4G,Orange + SFR,7974848427.91145,0.0145341685525458
4G,SFR + Free,586195803.991097,0.00106834238882619
4G,Zone blanche,38595090270.1942,0.070339587311082
